run_id,fold,split,space,row_type,null_value,duan_smearing_factor,n,mae,rmse,r2,bias,picp,interval_width_mean,interval_width_median,picp_low_tercile,picp_high_tercile,tercile_low_max,tercile_high_min,quantile_crossing_rate
tabular_fold_0,0,spatial_validation,log1p,model,nan,1.468206133581957,1532,0.7139507854560069,0.9571380038938553,0.5127843749458272,0.011485800188233634,0.8433420365535248,2.79969834495509,2.8847020925044946,0.76953125,0.7729941291585127,2.7472710609436035,3.91135573387146,0.0
tabular_fold_0,0,spatial_validation,log1p,null_train_mean,3.4925241470336914,1.468206133581957,1532,1.1172076612516422,1.3712548786093266,-1.9475445050431972e-05,-0.006051424958842853,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_0,0,spatial_validation,naive_expm1,model,nan,1.468206133581957,1532,52.377853346083576,103.35307511223154,0.32400757490241505,-25.939459416922055,0.8433420365535248,185.3639965509085,146.69203964045727,0.76953125,0.7729941291585127,14.600000381469727,48.96666717529296,0.0
tabular_fold_0,0,spatial_validation,naive_expm1,null_train_mean,79.45796203613281,1.468206133581957,1532,89.47854343844534,125.77635981619218,-0.001135971809905989,-4.2367834335013095,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_0,0,spatial_validation,duan_smearing,model,nan,1.468206133581957,1532,58.029322378035204,105.26874538828181,0.2987160208765264,1.570125893320141,0.7983028720626631,272.15255668130857,215.37415234776694,0.53515625,0.9178082191780822,14.600000381469727,48.96666717529296,0.0
tabular_fold_0,0,spatial_validation,duan_smearing,null_train_mean,79.45796203613281,1.468206133581957,1532,89.47854343844534,125.77635981619218,-0.001135971809905989,-4.2367834335013095,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_0,0,geographic_holdout,log1p,model,nan,1.468206133581957,325,0.9510172626581606,1.1542542465430725,-0.05595271852950101,0.5464874012807939,0.6707692307692308,2.6668646172727004,2.651234035977793,0.3181818181818182,0.8981481481481481,2.0014801025390625,2.912350654602051,0.0
tabular_fold_0,0,geographic_holdout,log1p,null_train_mean,3.4925241470336914,1.468206133581957,325,1.2386247220406166,1.452189813533471,-0.6714303454559418,0.9204066067475539,nan,nan,nan,nan,nan,nan,nan,nan
tabular_fold_0,0,geographic_holdout,naive_expm1,model,nan,1.468206133581957,325,23.835206092081208,43.79469395567216,-0.025571254445760916,1.6781937750954001,0.6707692307692308,127.1299769422898,112.33324507497139,0.3181818181818182,0.8981481481481481,6.400000095367432,17.399999618530273,0.0
tabular_fold_0,0,geographic_holdout,naive_expm1,null_train_mean,79.45796203613281,1.468206133581957,325,63.55822653862146,69.24025551411727,-1.5635404336139294,54.074577434429756,nan,nan,nan,nan,nan,nan,nan,nan
