run_id,kind,seed,aggregation,split,n,mae,rmse,r2,bias
deep_seed_0,deep,20260901,individual,north_america_holdout,558,67.527218213859,116.52794383430927,0.3507538371048541,-17.32605214342208
deep_seed_0,deep,20260901,individual,europe_transfer,289,118.11185161217686,150.79703526330343,-0.41994991813643123,26.304114821047932
deep_seed_1,deep,20260902,individual,north_america_holdout,558,67.02657401962306,118.49926020442061,0.3286012890415949,-13.798002400972937
deep_seed_1,deep,20260902,individual,europe_transfer,289,129.05923920024225,158.81863845105124,-0.5750355390130626,52.846428710284115
deep_seed_2,deep,20260903,individual,north_america_holdout,558,67.58015789652383,119.7405374514783,0.31446184507085073,-24.813602502895087
deep_seed_2,deep,20260903,individual,europe_transfer,289,80.77572509161742,120.97755558169885,0.08610346477755959,-7.948138001880844
deep_seed_3,deep,20260904,individual,north_america_holdout,558,67.68183692680893,119.63630473500992,0.3156548312569345,-10.231989092136796
deep_seed_3,deep,20260904,individual,europe_transfer,289,98.8990786933569,127.2471190587338,-0.011074919612499512,13.285991101941436
deep_seed_4,deep,20260905,individual,north_america_holdout,558,64.81144261290737,115.55613308080298,0.36153774749372214,-10.233702697901316
deep_seed_4,deep,20260905,individual,europe_transfer,289,107.69018378554743,137.91984501885392,-0.1877934923595519,18.701991072163036
mean_seed_0,mean_baseline,20260901,individual,north_america_holdout,558,121.74317410414513,146.43473467602084,-0.02526807473713455,22.98854390269759
mean_seed_0,mean_baseline,20260901,individual,europe_transfer,289,109.05263481847562,128.870442039499,-0.03703653519864969,24.35406525261738
mean_seed_1,mean_baseline,20260902,individual,north_america_holdout,558,121.74317410414513,146.43473467602084,-0.02526807473713455,22.98854390269759
mean_seed_1,mean_baseline,20260902,individual,europe_transfer,289,109.05263481847562,128.870442039499,-0.03703653519864969,24.35406525261738
mean_seed_2,mean_baseline,20260903,individual,north_america_holdout,558,121.74317410414513,146.43473467602084,-0.02526807473713455,22.98854390269759
mean_seed_2,mean_baseline,20260903,individual,europe_transfer,289,109.05263481847562,128.870442039499,-0.03703653519864969,24.35406525261738
deep_mean,deep,,mean,north_america_holdout,558,66.92544593394443,117.99203586120423,0.33420190999359123,-15.280669767465644
deep_std,deep,,std,north_america_holdout,558,1.2085261577613275,1.8771882093767531,0.021131999141088237,6.087276716325281
deep_mean,deep,,mean,europe_transfer,289,106.90721567658815,139.15203867472826,-0.22155008086879713,20.638077540711134
deep_std,deep,,std,europe_transfer,289,18.46519773679575,15.779245389733257,0.27586430970211917,22.047988504561268
mean_baseline_mean,mean_baseline,,mean,north_america_holdout,558,121.74317410414513,146.43473467602084,-0.02526807473713455,22.98854390269759
mean_baseline_std,mean_baseline,,std,north_america_holdout,558,0.0,0.0,0.0,0.0
mean_baseline_mean,mean_baseline,,mean,europe_transfer,289,109.05263481847562,128.870442039499,-0.03703653519864969,24.354065252617385
mean_baseline_std,mean_baseline,,std,europe_transfer,289,0.0,0.0,0.0,4.351167857633658e-15
