epoch,train_loss,val_mae,val_rmse,val_r2,lr,epoch_seconds
1,0.24060380118899047,70.4010888905604,130.62214406198922,-0.12158651527485764,0.0001994631457460908,27.01142644882202
2,0.1979224550537765,70.66260469468186,138.73361622527585,-0.2652098852099922,0.00019785846487191297,1.8941185474395752
3,0.17754335827194154,71.81270047578737,136.23770680812646,-0.22009546442344918,0.00019520353859692508,1.8743047714233398
4,0.1754230737686157,55.88016660738448,110.00346723673192,0.20455178595935297,0.0001915274548489749,1.8715484142303467
5,0.16675990095827728,55.0901106260879,94.0491736325383,0.4185543431190931,0.00018687048957087503,1.8789081573486328
6,0.1453330604126677,49.856142420889086,93.09767894242545,0.4302597916465716,0.00018128366544874487,1.8642714023590088
7,0.13385248647537082,47.046335909240035,86.27778961942899,0.5106752493659626,0.00017482819289678465,1.8447699546813965
8,0.12441051581990906,49.1579491305704,89.4751064374745,0.47373606301436466,0.0001675747994231681,1.860776424407959
9,0.11958142910152673,47.55187220693776,92.83482932458054,0.4334724300087962,0.00015960295472466237,1.8662419319152832
10,0.10968237515771762,48.02319006592009,90.55384327200912,0.4609699989597237,0.000151,1.8614835739135742
11,0.10044657526304945,49.46126039138143,91.52850261954173,0.4493040558200804,0.00014186019102142844,1.8639907836914062
12,0.09717111808713526,47.27047256722048,90.31813253378432,0.4637725260140817,0.00013228366544874485,1.861114263534546
13,0.08665318384300917,50.27622583454023,91.95623796951865,0.44414495210165206,0.0001223753457001404,1.8632328510284424
14,0.08084233629051596,50.26286617375333,93.53854580933002,0.4248509711967642,0.00011224378940023004,1.8604509830474854
15,0.07227154676802457,48.29738280293836,89.33823339999928,0.47534491830534353,0.00010200000000000001,1.843216896057129
